字段,分类,类型,单位,级别,查看者相关,声明,有实际赋值,边界
sanity_rate,world,number,未配置,2,false,✅,✅,字段由组件/状态条件读取，缺值即省略；按分类/级别/行数和文本预算显示。
season,world,text,未配置,2,false,✅,✅,字段由组件/状态条件读取，缺值即省略；按分类/级别/行数和文本预算显示。
season_days,world,number,未配置,2,false,✅,✅,字段由组件/状态条件读取，缺值即省略；按分类/级别/行数和文本预算显示。
speed,equipment,number,未配置,1,false,✅,✅,字段由组件/状态条件读取，缺值即省略；按分类/级别/行数和文本预算显示。
stage,progress,scalar,未配置,1,false,✅,✅,字段由组件/状态条件读取，缺值即省略；按分类/级别/行数和文本预算显示。
stress,farm,text,未配置,2,true,✅,✅,字段由组件/状态条件读取，缺值即省略；按分类/级别/行数和文本预算显示。
temperature,world,number,未配置,2,false,✅,✅,字段由组件/状态条件读取，缺值即省略；按分类/级别/行数和文本预算显示。
tendency,beefalo,text,未配置,1,false,✅,✅,字段由组件/状态条件读取，缺值即省略；按分类/级别/行数和文本预算显示。
uses,equipment,number,未配置,1,false,✅,✅,字段由组件/状态条件读取，缺值即省略；按分类/级别/行数和文本预算显示。
uses_max,equipment,number,未配置,1,false,✅,✅,字段由组件/状态条件读取，缺值即省略；按分类/级别/行数和文本预算显示。
waterproof,equipment,number,%,1,false,✅,✅,字段由组件/状态条件读取，缺值即省略；按分类/级别/行数和文本预算显示。
wetness,world,number,未配置,2,false,✅,✅,字段由组件/状态条件读取，缺值即省略；按分类/级别/行数和文本预算显示。
world_events,world,text,未配置,2,false,✅,✅,服主允许后最多12个原始timer名/时间，文本可能截断。
