ID,类别,能力边界,Insight,Global Positions,Wormhole Marks,Auto Stack and Pick Up,ActionQueue RB3,智能小木牌,Beefalo Status Bar,Wildwise,实现及限制,评估,证据,源码链接
F011,信息：通用数值,装备/物品充能与冷却时间,✅,❌,❌,❌,❌,❌,❌,❌,Insight rechargeable/cooldown/pocketwatch；Wildwise 只有燃料/加工/生长等固定类别。,应补,"I:descriptors/rechargeable.lua,descriptors/cooldown.lua;W:services/facts.lua",[I:descriptors/rechargeable.lua](/tmp/wildwise-research/insight/scripts/descriptors/rechargeable.lua)；[I:descriptors/cooldown.lua](/tmp/wildwise-research/insight/scripts/descriptors/cooldown.lua)；[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)
F012,信息：通用数值,维修、缝补、升级材料的恢复量/升级进度,✅,❌,❌,❌,❌,❌,❌,❌,Wildwise 的 REPAIR 队列动作不代表能展示修补值。,应补常用装备信息,"I:descriptors/repairer.lua,descriptors/repairable.lua,descriptors/sewing.lua,descriptors/upgradeable.lua;W:services/facts.lua",[I:descriptors/repairer.lua](/tmp/wildwise-research/insight/scripts/descriptors/repairer.lua)；[I:descriptors/repairable.lua](/tmp/wildwise-research/insight/scripts/descriptors/repairable.lua)；[I:descriptors/sewing.lua](/tmp/wildwise-research/insight/scripts/descriptors/sewing.lua)；[I:descriptors/upgradeable.lua](/tmp/wildwise-research/insight/scripts/descriptors/upgradeable.lua)；[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)
F013,信息：通用数值,物品湿度与实体温度、暖石状态,✅,❌,❌,❌,❌,❌,❌,❌,Wildwise 有防水和世界温度，但没有物品湿度/体温/暖石温度读取。,应补温度与保鲜相关信息,"I:descriptors/moisture.lua,descriptors/temperature.lua,prefab_descriptors/heatrock.lua;W:services/facts.lua",[I:descriptors/moisture.lua](/tmp/wildwise-research/insight/scripts/descriptors/moisture.lua)；[I:descriptors/temperature.lua](/tmp/wildwise-research/insight/scripts/descriptors/temperature.lua)；[I:prefab_descriptors/heatrock.lua](/tmp/wildwise-research/insight/scripts/prefab_descriptors/heatrock.lua)；[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)
F014,信息：通用数值,实体被冰冻的状态提示,❌,❌,❌,❌,❌,❌,❌,✅,Wildwise 通过 freezable:IsFrozen() 输出 frozen；Insight 本快照未有同等通用 freezable 描述器。双方还存在燃烧相关提示：Wildwise 为 burning 布尔值，Insight 的燃烧余时见下一行。,保持；不要把暖石低温或冰封鱼塘当作通用实体冰冻状态,I:descriptors;W:services/facts.lua,[I:descriptors](/tmp/wildwise-research/insight/scripts/descriptors)；[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)
F015,信息：通用数值,燃烧时间/传播、爆炸伤害和爆炸抗性,✅,❌,❌,❌,❌,❌,❌,❌,Insight burnable/propagator/explosive/explosiveresist；Wildwise 只有 burning 状态及基础攻击。,可按危险物品优先补,"I:descriptors/burnable.lua,descriptors/propagator.lua,descriptors/explosive.lua;W:services/facts.lua",[I:descriptors/burnable.lua](/tmp/wildwise-research/insight/scripts/descriptors/burnable.lua)；[I:descriptors/propagator.lua](/tmp/wildwise-research/insight/scripts/descriptors/propagator.lua)；[I:descriptors/explosive.lua](/tmp/wildwise-research/insight/scripts/descriptors/explosive.lua)；[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)
F016,信息：通用数值,通用实体计时器列表,✅,❌,❌,❌,❌,❌,❌,❌,Insight timer/worldsettingstimer；Wildwise 未查询普通实体 timer，只有特定业务字段。,应补白名单、友好名称和暂停语义,"I:descriptors/timer.lua,descriptors/worldsettingstimer.lua;W:services/facts.lua",[I:descriptors/timer.lua](/tmp/wildwise-research/insight/scripts/descriptors/timer.lua)；[I:descriptors/worldsettingstimer.lua](/tmp/wildwise-research/insight/scripts/descriptors/worldsettingstimer.lua)；[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)
F017,信息：通用数值,库存格数字/百分比/混合常驻显示,✅,❌,❌,❌,❌,❌,❌,❌,Wildwise 仅 hover/HUD，没有 itemtile 数值覆盖层。,应补高频耐久/鲜度显示,I:modinfo.lua:itemtile_display;W:ui/hud.lua,[I:modinfo.lua:itemtile_display](/tmp/wildwise-research/insight/modinfo.lua:1172)；[W:ui/hud.lua](/usr/local/src/Wildwise/scripts/wildwise/ui/hud.lua)
F018,信息：通用数值,图标模式、文字着色与字体选择,✅,❌,❌,❌,❌,❌,❌,❌,Wildwise 使用固定原版字体的文字，只有字号/全局缩放。,图标模式按需；可读性先验收,"I:modinfo.lua;W:ui/format.lua,ui/hud.lua",[I:modinfo.lua](/tmp/wildwise-research/insight/modinfo.lua)；[W:ui/format.lua](/usr/local/src/Wildwise/scripts/wildwise/ui/format.lua)；[W:ui/hud.lua](/usr/local/src/Wildwise/scripts/wildwise/ui/hud.lua)
F019,信息：通用数值,游戏天/现实时间切换及摄氏/华氏,✅,❌,❌,❌,❌,❌,❌,❌,Wildwise 时间固定分:秒；世界温度显示游戏值；基础腐败余量另标非倒计时。,应补时间语义和单位选项,I:modinfo.lua;W:ui/format.lua,[I:modinfo.lua](/tmp/wildwise-research/insight/modinfo.lua)；[W:ui/format.lua](/usr/local/src/Wildwise/scripts/wildwise/ui/format.lua)
F020,信息：通用数值,物品/组件描述器公开扩展 API,✅,❌,❌,❌,❌,❌,❌,❌,Insight AddComponentDescriptor/AddPrefabDescriptor；Wildwise 内部可扩展，但没有公开注册接口。,核心稳定后按需补,I:doc/Adding Modded Information.md;W:services/facts.lua,[I:doc/Adding Modded Information.md](</tmp/wildwise-research/insight/doc/Adding Modded Information.md>)；[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)
F021,信息：食物与加工,查看者角色的食用资格和三维收益,✅,❌,❌,❌,❌,❌,❌,✅,Wildwise 按 eater/edible/foodmemory/吸收倍率计算；遇到未知 custom_stats_mod_fn 省略估算。,应补原版角色覆盖测试，保持不调用未知副作用回调,"I:descriptors/edible.lua,descriptors/eater.lua;W:services/facts.lua",[I:descriptors/edible.lua](/tmp/wildwise-research/insight/scripts/descriptors/edible.lua)；[I:descriptors/eater.lua](/tmp/wildwise-research/insight/scripts/descriptors/eater.lua)；[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)
F022,信息：食物与加工,食物记忆影响最终估算,✅,❌,❌,❌,❌,❌,❌,✅,Wildwise 使用 GetFoodMultiplier；没有展示当前惩罚、记忆恢复时间或独立开关。,补记忆详情应优于重复做三维基础值,I:descriptors/edible.lua;W:services/facts.lua,[I:descriptors/edible.lua](/tmp/wildwise-research/insight/scripts/descriptors/edible.lua)；[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)
F023,信息：食物与加工,食物 buff/调味效果、特殊食用机制文本,✅,❌,❌,❌,❌,❌,❌,❌,Wildwise 不展示持续时间、属性 buff 明细和全部角色特例。,应补常见料理/调味/角色特例,"I:descriptors/edible.lua,descriptors/debuffable.lua;W:services/facts.lua",[I:descriptors/edible.lua](/tmp/wildwise-research/insight/scripts/descriptors/edible.lua)；[I:descriptors/debuffable.lua](/tmp/wildwise-research/insight/scripts/descriptors/debuffable.lua)；[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)
F024,信息：食物与加工,鲜度百分比,✅,❌,❌,❌,❌,❌,❌,✅,Wildwise GetPercent；与环境修正后的剩余时间是两项能力。,保持,I:descriptors/perishable.lua;W:services/facts.lua,[I:descriptors/perishable.lua](/tmp/wildwise-research/insight/scripts/descriptors/perishable.lua)；[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)
F025,信息：食物与加工,结合保鲜容器/温度/湿度的腐败时间估计,✅,❌,❌,❌,❌,❌,❌,❌,Insight 有 DST_Perish 倍率估算；Wildwise 仅 perishremainingtime 基础余量。两者均不能由静态代码保证所有新环境倍率正确。,应补经当前引擎校验的估时,I:descriptors/perishable.lua;W:services/facts.lua,[I:descriptors/perishable.lua](/tmp/wildwise-research/insight/scripts/descriptors/perishable.lua)；[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)
F026,信息：食物与加工,食材类型与料理标签权重,✅,❌,❌,❌,❌,❌,❌,✅,Wildwise 读取 cooking.ingredients，显示肉度等标签；前端摘要可能按文本预算截断。,保持并改进中文名称,"I:descriptors/edible.lua;W:services/facts.lua,services/recipes.lua",[I:descriptors/edible.lua](/tmp/wildwise-research/insight/scripts/descriptors/edible.lua)；[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)；[W:services/recipes.lua](/usr/local/src/Wildwise/scripts/wildwise/services/recipes.lua)
F027,信息：食物与加工,四食材料理结果预测,❌,❌,❌,❌,❌,❌,❌,✅,Wildwise 普通锅/便携锅，返回最高优先级所有候选；Insight 的配方入口是 Wiki 查询，stewer 显示已开始烹饪的产物，未见同等四格计算器。,保持并验收真实菜单流程,"I:scripts;W:services/recipes.lua,ui/menu.lua",[I:scripts](/tmp/wildwise-research/insight/scripts)；[W:services/recipes.lua](/usr/local/src/Wildwise/scripts/wildwise/services/recipes.lua)；[W:ui/menu.lua](/usr/local/src/Wildwise/scripts/wildwise/ui/menu.lua)
F028,信息：食物与加工,从制作/食谱页面打开物品 Wiki 或原模组页面,✅,❌,❌,❌,❌,❌,❌,❌,Insight recipelookup 提供外部链接，不是内置完整百科；Wildwise 没有对应入口，四格计算器也不负责材料反查。,按需补高频查询，非基础整合必需,"I:scripts;W:services/recipes.lua,ui/menu.lua",[I:scripts](/tmp/wildwise-research/insight/scripts)；[W:services/recipes.lua](/usr/local/src/Wildwise/scripts/wildwise/services/recipes.lua)；[W:ui/menu.lua](/usr/local/src/Wildwise/scripts/wildwise/ui/menu.lua)
F029,信息：食物与加工,锅内已选定产物/份数、厨师及烹饪速度修正,✅,❌,❌,❌,❌,❌,❌,❌,Insight stewer 显示产物/厨师/速度；Wildwise 只读剩余时间。其四格查询服务虽返回 weight/cooktime，菜单却只列名称，不能据字段宣称有概率/时长展示。,应补结果解释与可见细节,"I:descriptors/stewer.lua;W:services/recipes.lua,ui/menu.lua",[I:descriptors/stewer.lua](/tmp/wildwise-research/insight/scripts/descriptors/stewer.lua)；[W:services/recipes.lua](/usr/local/src/Wildwise/scripts/wildwise/services/recipes.lua)；[W:ui/menu.lua](/usr/local/src/Wildwise/scripts/wildwise/ui/menu.lua)
F030,信息：食物与加工,燃料百分比、基础余时、燃料物品热值,✅,❌,❌,❌,❌,❌,❌,✅,Wildwise 余时=currentfuel/rate；不保证火堆/角色/环境所有修正。,先补单位与倍率适配，再宣传准确倒计时,"I:descriptors/fueled.lua,descriptors/fuel.lua;W:services/facts.lua",[I:descriptors/fueled.lua](/tmp/wildwise-research/insight/scripts/descriptors/fueled.lua)；[I:descriptors/fuel.lua](/tmp/wildwise-research/insight/scripts/descriptors/fuel.lua)；[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)
F031,信息：食物与加工,锅内烹饪剩余时间、传统晾晒剩余时间,✅,❌,❌,❌,❌,❌,❌,✅,Wildwise 原版 stewer/dryer 接口，仅处于加工状态才显示。,保持,"I:descriptors/stewer.lua,descriptors/dryer.lua;W:services/facts.lua",[I:descriptors/stewer.lua](/tmp/wildwise-research/insight/scripts/descriptors/stewer.lua)；[I:descriptors/dryer.lua](/tmp/wildwise-research/insight/scripts/descriptors/dryer.lua)；[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)
F032,信息：食物与加工,新版多格肉架/Woby 肉架下一份可读完成时间,❌,❌,❌,❌,❌,❌,❌,✅,Wildwise dryingrack/wobyrack 快照取最小数值，未展示全部格子明细；Insight 当前快照未见对应新组件专用读取。,补逐格与暂停原因按需；先验收,W:services/facts.lua;I:descriptors/dryer.lua,[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)；[I:descriptors/dryer.lua](/tmp/wildwise-research/insight/scripts/descriptors/dryer.lua)
F033,信息：食物与加工,普通作物/树木生长阶段与可读取剩余时间,✅,❌,❌,❌,❌,❌,❌,✅,Wildwise growable stage/targettime；不等于完整多阶段成长预测。,保持并补暂停/季节原因,I:descriptors/growable.lua;W:services/facts.lua,[I:descriptors/growable.lua](/tmp/wildwise-research/insight/scripts/descriptors/growable.lua)；[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)
F034,信息：食物与加工,草/树枝/浆果原生再生时间,✅,❌,❌,❌,❌,❌,❌,✅,Wildwise 支持本地 targettime 与外部再生计时回调，暂停/枯萎时省略。,保持,I:descriptors/pickable.lua;W:services/facts.lua,[I:descriptors/pickable.lua](/tmp/wildwise-research/insight/scripts/descriptors/pickable.lua)；[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)
F035,信息：食物与加工,收获物类型、生产数量/上限和完整再生产逻辑,✅,❌,❌,❌,❌,❌,❌,❌,Wildwise harvestable 只读 produce，缺少完整数量/上限/生产周期。,常用蜂箱/蘑菇农场等应补,"I:descriptors/harvestable.lua,prefab_descriptors/mushroom_farm.lua;W:services/facts.lua",[I:descriptors/harvestable.lua](/tmp/wildwise-research/insight/scripts/descriptors/harvestable.lua)；[I:prefab_descriptors/mushroom_farm.lua](/tmp/wildwise-research/insight/scripts/prefab_descriptors/mushroom_farm.lua)；[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)
F036,信息：农业、角色与世界,土壤三类养分数值,✅,❌,❌,❌,❌,❌,❌,✅,Wildwise 仅在农作物对象上读取 GetTileNutrients，显示三个数；无帽子资格/分档/比例配置。,补名称、解释和权限细化,I:descriptors/farmsoildrinker.lua;W:services/facts.lua,[I:descriptors/farmsoildrinker.lua](/tmp/wildwise-research/insight/scripts/descriptors/farmsoildrinker.lua)；[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)
F037,信息：农业、角色与世界,土壤湿润/不湿润状态,✅,❌,❌,❌,❌,❌,❌,✅,Wildwise 只有 IsSoilMoistAtPoint 布尔值。,保持真实语义,I:descriptors/farmsoildrinker.lua;W:services/facts.lua,[I:descriptors/farmsoildrinker.lua](/tmp/wildwise-research/insight/scripts/descriptors/farmsoildrinker.lua)；[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)
F038,信息：农业、角色与世界,土壤精确水分、消耗速率/区间显示,✅,❌,❌,❌,❌,❌,❌,❌,Wildwise 无精确湿度；不能把布尔潮湿度写成百分比。,农业用户需要时补可信读取,I:descriptors/farmsoildrinker.lua;W:services/facts.lua,[I:descriptors/farmsoildrinker.lua](/tmp/wildwise-research/insight/scripts/descriptors/farmsoildrinker.lua)；[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)
F039,信息：农业、角色与世界,作物当前压力描述,✅,❌,❌,❌,❌,❌,❌,✅,Wildwise 调用 GetStressDescription(viewer)，不自行列举所有压力源。,保持,I:descriptors/farmplantstress.lua;W:services/facts.lua,[I:descriptors/farmplantstress.lua](/tmp/wildwise-research/insight/scripts/descriptors/farmplantstress.lua)；[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)
F040,信息：农业、角色与世界,压力累计点/等级、逐项压力原因/资格配置,✅,❌,❌,❌,❌,❌,❌,❌,Insight 明确返回压力点、等级和测试出的 stressors；Wildwise 不具备同等细节。,应补，帮助玩家采取行动,I:descriptors/farmplantstress.lua;W:services/facts.lua,[I:descriptors/farmplantstress.lua](/tmp/wildwise-research/insight/scripts/descriptors/farmplantstress.lua)；[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)
F041,信息：农业、角色与世界,肥料三类养分,✅,❌,❌,❌,❌,❌,❌,✅,Wildwise 显示 nutrients 三元组；没有独立堆肥干湿料贡献。,保持并补友好说明,I:descriptors/fertilizer.lua;W:services/facts.lua,[I:descriptors/fertilizer.lua](/tmp/wildwise-research/insight/scripts/descriptors/fertilizer.lua)；[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)
F042,信息：农业、角色与世界,堆肥贡献/干湿料比例、作物重量、巨型作物判定辅助,✅,❌,❌,❌,❌,❌,❌,❌,Insight compostingbin/forcecompostable/weighable 等；Wildwise 未接入。,农业核心按需优先补,"I:descriptors/compostingbin.lua,descriptors/forcecompostable.lua,descriptors/weighable.lua;W:services/facts.lua",[I:descriptors/compostingbin.lua](/tmp/wildwise-research/insight/scripts/descriptors/compostingbin.lua)；[I:descriptors/forcecompostable.lua](/tmp/wildwise-research/insight/scripts/descriptors/forcecompostable.lua)；[I:descriptors/weighable.lua](/tmp/wildwise-research/insight/scripts/descriptors/weighable.lua)；[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)
F043,信息：农业、角色与世界,授粉、蜂群/巢穴/孵化、可刷毛与再生信息,✅,❌,❌,❌,❌,❌,❌,❌,Insight pollinator/childspawner/breeder/hatchable/brushable；Wildwise 不提供这些专用描述。,按常用实体分批补,"I:descriptors/pollinator.lua,descriptors/childspawner.lua,descriptors/brushable.lua;W:services/facts.lua",[I:descriptors/pollinator.lua](/tmp/wildwise-research/insight/scripts/descriptors/pollinator.lua)；[I:descriptors/childspawner.lua](/tmp/wildwise-research/insight/scripts/descriptors/childspawner.lua)；[I:descriptors/brushable.lua](/tmp/wildwise-research/insight/scripts/descriptors/brushable.lua)；[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)
F044,信息：农业、角色与世界,随从主人名称及可读忠诚剩余时间,✅,❌,❌,❌,❌,❌,❌,✅,Wildwise follower.leader/targettime；不等于总领导额度/全随从列表。,保持,I:descriptors/follower.lua;W:services/facts.lua,[I:descriptors/follower.lua](/tmp/wildwise-research/insight/scripts/descriptors/follower.lua)；[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)
F045,信息：农业、角色与世界,领导者随从列表、兽群成员/发情细节,✅,❌,❌,❌,❌,❌,❌,❌,Wildwise 仅简单 follower 信息与牛驯化字段。,按需补,"I:descriptors/leader.lua,descriptors/herdmember.lua;W:services/facts.lua",[I:descriptors/leader.lua](/tmp/wildwise-research/insight/scripts/descriptors/leader.lua)；[I:descriptors/herdmember.lua](/tmp/wildwise-research/insight/scripts/descriptors/herdmember.lua)；[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)
F046,信息：农业、角色与世界,未骑乘牛的基础驯化/顺从/倾向 hover,✅,❌,❌,❌,❌,❌,❌,✅,Wildwise 有 domesticatable 读数；独立 Beefalo Status Bar 只在骑牛时工作。,保持,I:descriptors/domesticatable.lua;W:services/facts.lua;B:modmain.lua,[I:descriptors/domesticatable.lua](/tmp/wildwise-research/insight/scripts/descriptors/domesticatable.lua)；[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)；[B:modmain.lua](/home/ubuntu/Steam/steamapps/workshop/content/322330/2477889104/modmain.lua)
F047,信息：农业、角色与世界,自己的基础饥饿/理智变化速率,✅,❌,❌,❌,❌,❌,❌,✅,Wildwise 显示 hungerrate/sanity.rate，未归因全部环境与技能修正。,明确基础语义,"I:descriptors/hunger.lua,descriptors/sanity.lua;W:services/facts.lua",[I:descriptors/hunger.lua](/tmp/wildwise-research/insight/scripts/descriptors/hunger.lua)；[I:descriptors/sanity.lua](/tmp/wildwise-research/insight/scripts/descriptors/sanity.lua)；[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)
F048,信息：农业、角色与世界,玩家/生物完整饥饿、理智、光环与交互增减详情,✅,❌,❌,❌,❌,❌,❌,❌,Wildwise 骑乘 hunger 不等于通用 hunger 描述器，也没有 sanityaura、采花/跳虫洞理智损益说明。,应补常用理智光环及角色状态,"I:descriptors/hunger.lua,descriptors/sanityaura.lua,prefab_descriptors/wormhole.lua;W:services/facts.lua",[I:descriptors/hunger.lua](/tmp/wildwise-research/insight/scripts/descriptors/hunger.lua)；[I:descriptors/sanityaura.lua](/tmp/wildwise-research/insight/scripts/descriptors/sanityaura.lua)；[I:prefab_descriptors/wormhole.lua](/tmp/wildwise-research/insight/scripts/prefab_descriptors/wormhole.lua)；[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)
F049,信息：农业、角色与世界,角色专用状态：WX 扫描/电路、旺达年龄、温蒂羁绊、伍迪变身、沃尔夫冈力量等,✅,❌,❌,❌,❌,❌,❌,❌,Insight 有 wx78_scanner/upgrademodule/oldager/ghostlybond/wereness/mightiness 等入口；Wildwise 无对应字段。,按原版角色使用频率逐项补,"I:descriptors, prefab_descriptors;W:services/facts.lua",[I:descriptors](/tmp/wildwise-research/insight/scripts/descriptors)；[I:prefab_descriptors](/tmp/wildwise-research/insight/scripts/prefab_descriptors)；[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)
F050,信息：农业、角色与世界,季节、剩余季节天数、世界日/阶段、世界温度/湿度,✅,❌,❌,❌,❌,❌,❌,✅,Wildwise 从 TheWorld.state 读出，世界日是 cycles 原始计数，未在该读取器加一。,应核对玩家界面的日数口径,"I:descriptors/clock.lua,descriptors/weather.lua;W:services/facts.lua",[I:descriptors/clock.lua](/tmp/wildwise-research/insight/scripts/descriptors/clock.lua)；[I:descriptors/weather.lua](/tmp/wildwise-research/insight/scripts/descriptors/weather.lua)；[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)
F051,信息：农业、角色与世界,已允许的 worldsettingstimer 摘要,✅,❌,❌,❌,❌,❌,❌,✅,Wildwise 最多 12 个，按键排序；原始内部事件名+秒数，不是完整危险面板。,应补语义化和按事件权限,I:descriptors/worldsettingstimer.lua;W:services/facts.lua,[I:descriptors/worldsettingstimer.lua](/tmp/wildwise-research/insight/scripts/descriptors/worldsettingstimer.lua)；[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)
