模组,键,说明,默认值,可选值,枚举原文及含义,client原始字段,原始tags,权限,参考配置支持,Wildwise 对应配置,Wildwise 边界,评估,源码,源码定位
Insight,time_style,时间样式,realtime_short,gametime / realtime / both / gametime_short / realtime_short / both_short,"[{""hover"": ""以游戏内时间为基础显示时间信息：天数，时间小段"", ""description"": ""游戏时间"", ""data"": ""gametime""}, {""hover"": ""以现实时间为基础显示时间信息：时，分，秒"", ""description"": ""现实时间"", ""data"": ""realtime""}, {""hover"": ""使用两种显示形式：天，时间小段（时，分，秒）"", ""description"": ""兼用两种模式"", ""data"": ""both""}, {""hover"": ""简化版的以游戏内时间为基础显示时间信息"", ""description"": ""游戏时间（精简）"", ""data"": ""gametime_short""}, {""hover"": ""简化版的以现实时间为基础显示时间信息"", ""description"": ""现实时间（精简）"", ""data"": ""realtime_short""}, {""hover"": ""简化版的双模式显示"", ""description"": ""兼用两种模式（精简）"", ""data"": ""both_short""}]",true,{},个人优先,✅,❌,固定原生文本/单位/行数；检查键展开、3 档预设不能替代该独立配置。,信息开关、时间单位、截断提示优先；字体样式按需,/tmp/wildwise-research/insight/modinfo.lua,[time_style](/tmp/wildwise-research/insight/modinfo.lua:6873)
Insight,temperature_units,温度单位,game,game / celsius / fahrenheit,"[{""hover"": ""结冰: 0, 过热: 70"", ""description"": ""游戏温度"", ""data"": ""game""}, {""hover"": ""结冰: 0, 过热: 35"", ""description"": ""摄氏度"", ""data"": ""celsius""}, {""hover"": ""结冰: 32, 过热: 158"", ""description"": ""华氏度"", ""data"": ""fahrenheit""}]",true,{},个人优先,✅,❌,固定原生文本/单位/行数；检查键展开、3 档预设不能替代该独立配置。,信息开关、时间单位、截断提示优先；字体样式按需,/tmp/wildwise-research/insight/modinfo.lua,[temperature_units](/tmp/wildwise-research/insight/modinfo.lua:6888)
Insight,highlighting,高亮显示,true,false / true,"[{""hover"": ""箱子/物品不会高亮显示"", ""description"": ""否"", ""data"": false}, {""hover"": ""箱子/物品会高亮显示"", ""description"": ""是"", ""data"": true}]",true,{},个人优先,✅,❌,只提供手动同类定位和 8 秒文字标记，缺少自动/材质/燃料高亮配置。,补自动定位及易辨认反馈；黑暗穿透可忽略,/tmp/wildwise-research/insight/modinfo.lua,[highlighting](/tmp/wildwise-research/insight/modinfo.lua:6899)
Insight,experimental_highlighting,实验性高亮显示,true,false / true,"[{""hover"": ""使用正常高亮显示。"", ""description"": ""否"", ""data"": false}, {""hover"": ""使用实验性高亮显示。"", ""description"": ""是"", ""data"": true}]",true,{},个人优先,✅,❌,只提供手动同类定位和 8 秒文字标记，缺少自动/材质/燃料高亮配置。,补自动定位及易辨认反馈；黑暗穿透可忽略,/tmp/wildwise-research/insight/modinfo.lua,[experimental_highlighting](/tmp/wildwise-research/insight/modinfo.lua:6909)
Insight,highlighting_darkness,高亮黑暗中的物品,true,false / true,"[{""hover"": ""黑暗中不使用高亮显示。"", ""description"": ""否"", ""data"": false}, {""hover"": ""黑暗中使用高亮显示。"", ""description"": ""是"", ""data"": true}]",true,{},个人优先,✅,❌,只提供手动同类定位和 8 秒文字标记，缺少自动/材质/燃料高亮配置。,补自动定位及易辨认反馈；黑暗穿透可忽略,/tmp/wildwise-research/insight/modinfo.lua,[highlighting_darkness](/tmp/wildwise-research/insight/modinfo.lua:6919)
Insight,highlighting_color,高亮颜色,GREEN,RED / GREEN / BLUE / LIGHT_BLUE / PURPLE / YELLOW / WHITE / ORANGE / PINK,"[{""hover"": ""红色"", ""description"": ""红色"", ""data"": ""RED""}, {""hover"": ""绿色"", ""description"": ""绿色"", ""data"": ""GREEN""}, {""hover"": ""蓝色"", ""description"": ""蓝色"", ""data"": ""BLUE""}, {""hover"": ""亮蓝色"", ""description"": ""亮蓝色"", ""data"": ""LIGHT_BLUE""}, {""hover"": ""紫色"", ""description"": ""紫色"", ""data"": ""PURPLE""}, {""hover"": ""黄色"", ""description"": ""黄色"", ""data"": ""YELLOW""}, {""hover"": ""白色"", ""description"": ""白色"", ""data"": ""WHITE""}, {""hover"": ""橙色"", ""description"": ""橙色"", ""data"": ""ORANGE""}, {""hover"": ""粉色"", ""description"": ""粉色"", ""data"": ""PINK""}]",true,{},个人优先,✅,❌,只提供手动同类定位和 8 秒文字标记，缺少自动/材质/燃料高亮配置。,补自动定位及易辨认反馈；黑暗穿透可忽略,/tmp/wildwise-research/insight/modinfo.lua,[highlighting_color](/tmp/wildwise-research/insight/modinfo.lua:6929)
Insight,fuel_highlighting,燃料高亮显示,false,false / true,"[{""hover"": ""禁用燃料高亮显示"", ""description"": ""否"", ""data"": false}, {""hover"": ""启用燃料高亮显示"", ""description"": ""是"", ""data"": true}]",true,{},个人优先,✅,❌,只提供手动同类定位和 8 秒文字标记，缺少自动/材质/燃料高亮配置。,补自动定位及易辨认反馈；黑暗穿透可忽略,/tmp/wildwise-research/insight/modinfo.lua,[fuel_highlighting](/tmp/wildwise-research/insight/modinfo.lua:6946)
Insight,fuel_highlighting_color,燃料高亮颜色,RED,RED / GREEN / BLUE / LIGHT_BLUE / PURPLE / YELLOW / WHITE / ORANGE / PINK,"[{""hover"": ""红色"", ""description"": ""红色"", ""data"": ""RED""}, {""hover"": ""绿色"", ""description"": ""绿色"", ""data"": ""GREEN""}, {""hover"": ""蓝色"", ""description"": ""蓝色"", ""data"": ""BLUE""}, {""hover"": ""亮蓝色"", ""description"": ""亮蓝色"", ""data"": ""LIGHT_BLUE""}, {""hover"": ""紫色"", ""description"": ""紫色"", ""data"": ""PURPLE""}, {""hover"": ""黄色"", ""description"": ""黄色"", ""data"": ""YELLOW""}, {""hover"": ""白色"", ""description"": ""白色"", ""data"": ""WHITE""}, {""hover"": ""橙色"", ""description"": ""橙色"", ""data"": ""ORANGE""}, {""hover"": ""粉色"", ""description"": ""粉色"", ""data"": ""PINK""}]",true,{},个人优先,✅,❌,只提供手动同类定位和 8 秒文字标记，缺少自动/材质/燃料高亮配置。,补自动定位及易辨认反馈；黑暗穿透可忽略,/tmp/wildwise-research/insight/modinfo.lua,[fuel_highlighting_color](/tmp/wildwise-research/insight/modinfo.lua:6956)
Insight,display_attack_range,攻击范围,undefined；个人未另选时的回退值 true,false / true / undefined,"[{""hover"": ""不显示攻击范围"", ""description"": ""否"", ""data"": false}, {""hover"": ""显示攻击范围"", ""description"": ""是"", ""data"": true}, {""hover"": ""默认为：是"", ""description"": ""默认"", ""data"": ""undefined""}]",—,"[""undefined""]",服主指定；undefined 时由个人选择,✅,✅,info_attack_range 服主许可；只允许数值提示，没有范围圈。,先补范围显示，再细分样式,/tmp/wildwise-research/insight/modinfo.lua,[display_attack_range](/tmp/wildwise-research/insight/modinfo.lua:6974)
Insight,attack_range_type,攻击范围类型,undefined；个人未另选时的回退值 hit,hit / attack / both / undefined,"[{""hover"": ""显示敲击范围"", ""description"": ""敲击"", ""data"": ""hit""}, {""hover"": ""显示攻击范围"", ""description"": ""攻击"", ""data"": ""attack""}, {""hover"": ""同时显示敲击和攻击范围"", ""description"": ""兼用"", ""data"": ""both""}, {""hover"": ""默认为：敲击"", ""description"": ""默认"", ""data"": ""undefined""}]",true,"[""undefined""]",个人优先,✅,❌,没有实体范围圈、命中/攻击区分、设施/角色范围的设置。,战斗与设施范围优先；角色专用按需,/tmp/wildwise-research/insight/modinfo.lua,[attack_range_type](/tmp/wildwise-research/insight/modinfo.lua:6983)
Insight,hover_range_indicator,物品范围,true,false / true,"[{""hover"": ""不显示物品范围。"", ""description"": ""否"", ""data"": false}, {""hover"": ""显示物品范围。"", ""description"": ""是"", ""data"": true}]",true,{},个人优先,✅,❌,没有实体范围圈、命中/攻击区分、设施/角色范围的设置。,战斗与设施范围优先；角色专用按需,/tmp/wildwise-research/insight/modinfo.lua,[hover_range_indicator](/tmp/wildwise-research/insight/modinfo.lua:6994)
Insight,boss_indicator,Boss 指示器,true,false / true,"[{""hover"": ""不显示 Boss 指示器。"", ""description"": ""否"", ""data"": false}, {""hover"": ""显示 Boss 指示器。"", ""description"": ""是"", ""data"": true}]",true,{},个人优先,✅,❌,只支持队友/临时点/已穿越虫洞/信号火，不支持这些实体追踪及多选列表。,死亡点、已发现入口优先；隐藏目标透视可忽略,/tmp/wildwise-research/insight/modinfo.lua,[boss_indicator](/tmp/wildwise-research/insight/modinfo.lua:7004)
Insight,miniboss_indicator,小 Boss 指示器,true,false / true,"[{""hover"": ""不显示小 Boss 指示器。"", ""description"": ""否"", ""data"": false}, {""hover"": ""显示小 Boss 指示器。"", ""description"": ""是"", ""data"": true}]",true,{},个人优先,✅,❌,只支持队友/临时点/已穿越虫洞/信号火，不支持这些实体追踪及多选列表。,死亡点、已发现入口优先；隐藏目标透视可忽略,/tmp/wildwise-research/insight/modinfo.lua,[miniboss_indicator](/tmp/wildwise-research/insight/modinfo.lua:7014)
Insight,notable_indicator,其他物品指示器,true,false / true,"[{""hover"": ""不显示指示器。"", ""description"": ""否"", ""data"": false}, {""hover"": ""显示指示器。"", ""description"": ""是"", ""data"": true}]",true,{},个人优先,✅,❌,只支持队友/临时点/已穿越虫洞/信号火，不支持这些实体追踪及多选列表。,死亡点、已发现入口优先；隐藏目标透视可忽略,/tmp/wildwise-research/insight/modinfo.lua,[notable_indicator](/tmp/wildwise-research/insight/modinfo.lua:7024)
Insight,pipspook_indicator,小惊吓玩具指示器,true,false / true,"[{""hover"": ""不显示小惊吓玩具指示器。"", ""description"": ""否"", ""data"": false}, {""hover"": ""显示小惊吓玩具指示器。"", ""description"": ""是"", ""data"": true}]",—,"[""dst_only""]",服主/共享配置,✅,❌,只支持队友/临时点/已穿越虫洞/信号火，不支持这些实体追踪及多选列表。,死亡点、已发现入口优先；隐藏目标透视可忽略,/tmp/wildwise-research/insight/modinfo.lua,[pipspook_indicator](/tmp/wildwise-research/insight/modinfo.lua:7034)
Insight,bottle_indicator,漂流瓶指示器,true,false / true,"[{""hover"": ""不显示漂流瓶指示器。"", ""description"": ""否"", ""data"": false}, {""hover"": ""显示漂流瓶指示器。"", ""description"": ""是"", ""data"": true}]",true,{},个人优先,✅,❌,只支持队友/临时点/已穿越虫洞/信号火，不支持这些实体追踪及多选列表。,死亡点、已发现入口优先；隐藏目标透视可忽略,/tmp/wildwise-research/insight/modinfo.lua,[bottle_indicator](/tmp/wildwise-research/insight/modinfo.lua:7043)
Insight,suspicious_marble_indicator,可疑的大理石指示器,false,false / true,"[{""hover"": ""不显示可疑的大理石指示器"", ""description"": ""否"", ""data"": false}, {""hover"": ""显示可疑的大理石指示器"", ""description"": ""是"", ""data"": true}]",true,"[""dst_only""]",个人优先,✅,❌,只支持队友/临时点/已穿越虫洞/信号火，不支持这些实体追踪及多选列表。,死亡点、已发现入口优先；隐藏目标透视可忽略,/tmp/wildwise-research/insight/modinfo.lua,[suspicious_marble_indicator](/tmp/wildwise-research/insight/modinfo.lua:7053)
Insight,death_indicator,死亡指示器,false,false / true,"[{""hover"": ""不显示指示器。"", ""description"": ""否"", ""data"": false}, {""hover"": ""显示指示器。"", ""description"": ""是"", ""data"": true}]",—,"[""dst_only""]",服主/共享配置,✅,❌,只支持队友/临时点/已穿越虫洞/信号火，不支持这些实体追踪及多选列表。,死亡点、已发现入口优先；隐藏目标透视可忽略,/tmp/wildwise-research/insight/modinfo.lua,[death_indicator](/tmp/wildwise-research/insight/modinfo.lua:7063)
Insight,hunt_indicator,动物脚印指示器,undefined；个人未另选时的回退值 true,false / true / undefined,"[{""hover"": ""不显示脚印指示器。"", ""description"": ""否"", ""data"": false}, {""hover"": ""显示脚印指示器。"", ""description"": ""是"", ""data"": true}, {""hover"": ""默认为：是"", ""description"": ""默认"", ""data"": ""undefined""}]",—,"[""undefined""]",服主指定；undefined 时由个人选择,✅,❌,只支持队友/临时点/已穿越虫洞/信号火，不支持这些实体追踪及多选列表。,死亡点、已发现入口优先；隐藏目标透视可忽略,/tmp/wildwise-research/insight/modinfo.lua,[hunt_indicator](/tmp/wildwise-research/insight/modinfo.lua:7072)
Insight,orchestrina_indicator,远古迷宫,undefined；个人未另选时的回退值 true,false / true / undefined,"[{""hover"": ""不显示答案。"", ""description"": ""否"", ""data"": false}, {""hover"": ""显示答案。"", ""description"": ""是"", ""data"": true}, {""hover"": ""默认为：是"", ""description"": ""默认"", ""data"": ""undefined""}]",—,"[""dst_only"", ""undefined""]",服主指定；undefined 时由个人选择,✅,❌,只支持队友/临时点/已穿越虫洞/信号火，不支持这些实体追踪及多选列表。,死亡点、已发现入口优先；隐藏目标透视可忽略,/tmp/wildwise-research/insight/modinfo.lua,[orchestrina_indicator](/tmp/wildwise-research/insight/modinfo.lua:7081)
Insight,tumbleweed_info,风滚草指示器,undefined；个人未另选时的回退值 false,false / true / undefined,"[{""hover"": ""不显示风滚草指示器"", ""description"": ""否"", ""data"": false}, {""hover"": ""显示风滚草指示器"", ""description"": ""是"", ""data"": true}, {""hover"": ""默认为：否"", ""description"": ""默认"", ""data"": ""undefined""}]",—,"[""undefined""]",服主指定；undefined 时由个人选择,✅,❌,只支持队友/临时点/已穿越虫洞/信号火，不支持这些实体追踪及多选列表。,死亡点、已发现入口优先；隐藏目标透视可忽略,/tmp/wildwise-research/insight/modinfo.lua,[tumbleweed_info](/tmp/wildwise-research/insight/modinfo.lua:7090)
Insight,lightningrod_range,避雷针范围,1,0 / 1 / 2,"[{""hover"": ""不显示避雷针的生效范围。"", ""description"": ""禁用"", ""data"": 0}, {""hover"": ""只在放置避雷针时、使用草叉时、种植时显示生效范围。"", ""description"": ""策略性地显示"", ""data"": 1}, {""hover"": ""总是显示避雷针的生效范围。"", ""description"": ""总是"", ""data"": 2}]",true,{},个人优先,✅,❌,没有实体范围圈、命中/攻击区分、设施/角色范围的设置。,战斗与设施范围优先；角色专用按需,/tmp/wildwise-research/insight/modinfo.lua,[lightningrod_range](/tmp/wildwise-research/insight/modinfo.lua:7099)
Insight,blink_range,瞬移范围,false,false / true,"[{""hover"": ""不显示瞬移范围。"", ""description"": ""否"", ""data"": false}, {""hover"": ""显示瞬移范围。"", ""description"": ""是"", ""data"": true}]",true,{},个人优先,✅,❌,没有实体范围圈、命中/攻击区分、设施/角色范围的设置。,战斗与设施范围优先；角色专用按需,/tmp/wildwise-research/insight/modinfo.lua,[blink_range](/tmp/wildwise-research/insight/modinfo.lua:7110)
Insight,wortox_soul_range,沃拓克斯灵魂范围,true,false / true,"[{""hover"": ""不显示灵魂范围功能。"", ""description"": ""否"", ""data"": false}, {""hover"": ""显示灵魂范围功能。"", ""description"": ""是"", ""data"": true}]",true,"[""dst_only""]",个人优先,✅,❌,没有实体范围圈、命中/攻击区分、设施/角色范围的设置。,战斗与设施范围优先；角色专用按需,/tmp/wildwise-research/insight/modinfo.lua,[wortox_soul_range](/tmp/wildwise-research/insight/modinfo.lua:7120)
Insight,battlesong_range,战歌生效范围,both,none / detach / attach / both,"[{""hover"": ""不显示战歌生效范围。"", ""description"": ""无"", ""data"": ""none""}, {""hover"": ""显示你脱离战歌生效的范围。"", ""description"": ""脱离"", ""data"": ""detach""}, {""hover"": ""显示你被战歌鼓舞的生效范围。"", ""description"": ""生效"", ""data"": ""attach""}, {""hover"": ""同时显示脱离战歌和被战歌鼓舞的生效范围"", ""description"": ""兼用"", ""data"": ""both""}]",true,"[""dst_only""]",个人优先,✅,❌,没有实体范围圈、命中/攻击区分、设施/角色范围的设置。,战斗与设施范围优先；角色专用按需,/tmp/wildwise-research/insight/modinfo.lua,[battlesong_range](/tmp/wildwise-research/insight/modinfo.lua:7130)
Insight,klaus_sack_markers,克劳斯袋子标记,undefined；个人未另选时的回退值 false,false / true / undefined,"[{""hover"": ""不显示标记"", ""description"": ""否"", ""data"": false}, {""hover"": ""显示标记"", ""description"": ""是"", ""data"": true}, {""hover"": ""默认为：否"", ""description"": ""默认"", ""data"": ""undefined""}]",—,"[""dst_only"", ""undefined""]",服主指定；undefined 时由个人选择,✅,❌,只支持队友/临时点/已穿越虫洞/信号火，不支持这些实体追踪及多选列表。,死亡点、已发现入口优先；隐藏目标透视可忽略,/tmp/wildwise-research/insight/modinfo.lua,[klaus_sack_markers](/tmp/wildwise-research/insight/modinfo.lua:7142)
Insight,sinkhole_marks,洞穴标记,2,0 / 1 / 2,"[{""hover"": ""不着色标记任何洞穴洞口。"", ""description"": ""无"", ""data"": 0}, {""hover"": ""仅着色标记地图图标。"", ""description"": ""仅地图模式"", ""data"": 1}, {""hover"": ""同时着色标记地图图标和洞穴洞口。"", ""description"": ""兼用"", ""data"": 2}]",true,"[""dst_only""]",个人优先,✅,❌,只支持队友/临时点/已穿越虫洞/信号火，不支持这些实体追踪及多选列表。,死亡点、已发现入口优先；隐藏目标透视可忽略,/tmp/wildwise-research/insight/modinfo.lua,[sinkhole_marks](/tmp/wildwise-research/insight/modinfo.lua:7151)
Insight,display_food,食物信息,undefined；个人未另选时的回退值 true,false / true / undefined,"[{""hover"": ""不显示食物信息。"", ""description"": ""否"", ""data"": false}, {""hover"": ""显示食物信息。"", ""description"": ""是"", ""data"": true}, {""hover"": ""默认为：是"", ""description"": ""默认"", ""data"": ""undefined""}]",—,"[""undefined""]",服主指定；undefined 时由个人选择,✅,❌,有部分对应信息，但仅按大类或密度预设控制；没有此字段的独立开关/详细度/资格条件。,应补常用项独立设置,/tmp/wildwise-research/insight/modinfo.lua,[display_food](/tmp/wildwise-research/insight/modinfo.lua:7163)
Insight,food_style,食物属性格式,long,short / long,"[{""hover"": ""+X / -X / +X"", ""description"": ""精简"", ""data"": ""short""}, {""hover"": ""饥饿：+X / 理智：-X / 生命：+X"", ""description"": ""详细"", ""data"": ""long""}]",true,{},个人优先,✅,❌,食物只有固定字段排序；食物记忆仅参与估算，缺少这些独立展示配置。,常用食物信息优先；样式按需,/tmp/wildwise-research/insight/modinfo.lua,[food_style](/tmp/wildwise-research/insight/modinfo.lua:7172)
Insight,food_order,食物属性显示顺序,interface,interface / wiki,"[{""hover"": ""饥饿 / 理智 / 生命"", ""description"": ""界面"", ""data"": ""interface""}, {""hover"": ""生命 / 饥饿 / 理智"", ""description"": ""维基"", ""data"": ""wiki""}]",true,{},个人优先,✅,❌,食物只有固定字段排序；食物记忆仅参与估算，缺少这些独立展示配置。,常用食物信息优先；样式按需,/tmp/wildwise-research/insight/modinfo.lua,[food_order](/tmp/wildwise-research/insight/modinfo.lua:7182)
Insight,food_units,食物系数,true,false / true,"[{""hover"": ""不显示食物度。"", ""description"": ""否"", ""data"": false}, {""hover"": ""显示食物度。"", ""description"": ""是"", ""data"": true}]",true,{},个人优先,✅,❌,食物只有固定字段排序；食物记忆仅参与估算，缺少这些独立展示配置。,常用食物信息优先；样式按需,/tmp/wildwise-research/insight/modinfo.lua,[food_units](/tmp/wildwise-research/insight/modinfo.lua:7192)
Insight,food_effects,食物加成属性,true,false / true,"[{""hover"": ""不显示特殊的食物属性。"", ""description"": ""否"", ""data"": false}, {""hover"": ""显示特殊的食物属性。"", ""description"": ""是"", ""data"": true}]",true,{},个人优先,✅,❌,食物只有固定字段排序；食物记忆仅参与估算，缺少这些独立展示配置。,常用食物信息优先；样式按需,/tmp/wildwise-research/insight/modinfo.lua,[food_effects](/tmp/wildwise-research/insight/modinfo.lua:7202)
Insight,stewer_chef,烹饪厨师显示,undefined；个人未另选时的回退值 true,false / true / undefined,"[{""hover"": ""不显示料理的制作人。"", ""description"": ""否"", ""data"": false}, {""hover"": ""显示料理的制作人。"", ""description"": ""是"", ""data"": true}, {""hover"": ""默认为：是"", ""description"": ""默认"", ""data"": ""undefined""}]",—,"[""undefined"", ""dst_only""]",服主指定；undefined 时由个人选择,✅,❌,食物只有固定字段排序；食物记忆仅参与估算，缺少这些独立展示配置。,常用食物信息优先；样式按需,/tmp/wildwise-research/insight/modinfo.lua,[stewer_chef](/tmp/wildwise-research/insight/modinfo.lua:7212)
Insight,food_memory,食物记忆,undefined；个人未另选时的回退值 true,false / true / undefined,"[{""hover"": ""不显示食物记忆。"", ""description"": ""否"", ""data"": false}, {""hover"": ""显示食物记忆。"", ""description"": ""是"", ""data"": true}, {""hover"": ""默认为：是"", ""description"": ""默认"", ""data"": ""undefined""}]",true,"[""undefined"", ""dst_only""]",个人优先,✅,❌,食物只有固定字段排序；食物记忆仅参与估算，缺少这些独立展示配置。,常用食物信息优先；样式按需,/tmp/wildwise-research/insight/modinfo.lua,[food_memory](/tmp/wildwise-research/insight/modinfo.lua:7221)
