动作,含义,RB3,Wildwise,RB3 入口,Wildwise 入口,边界,评估
EMPTY_CONTAINER,倒空容器,❌,✅,未注册,M.allowed,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,保留/验收
ERASE_PAPER,擦除纸张,✅,❌,leftclick,未注册,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,优先补原版非战斗日常动作
FEED,喂养,✅,✅,leftclick（目标条件）,M.allowed,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,保留/验收
FEEDPLAYER,喂其他玩家,✅,❌,rightclick,未注册,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,范围外或按需，逐目标检查副作用
FERTILIZE,施肥,✅,✅,leftclick,M.allowed,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。 Wildwise 白名单不代表土地区域布点闭环。,保留/验收
FILL,灌装,✅,❌,leftclick,未注册,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,优先补原版非战斗日常动作
FISH,抛竿,✅,❌,StartAutoFisher,未注册,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。 RB3 为普通鱼竿/池塘循环，带延迟补偿限制。,范围外或按需，逐目标检查副作用
GIVE,给予,✅,✅,leftclick,M.allowed,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,保留/验收
GIVEALLTOPLAYER,交给玩家全部,❌,✅,未注册,M.allowed,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,保留/验收
HAMMER,锤拆,✅,✅,rightclick,M.allowed,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,保留/验收
HARVEST,收获设施产物,✅,✅,leftclick（目标条件）,M.allowed,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,保留/验收
HAUNT,作祟,✅,❌,leftclick,未注册,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,范围外或按需，逐目标检查副作用
HEAL,治疗,✅,✅,leftclick（目标条件）,M.allowed,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,保留/验收
INTERACT_WITH,照料/交互,✅,✅,"leftclick,rightclick（目标条件）",M.allowed,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,保留/验收
LOWER_ANCHOR,下锚,❌,✅,未注册,M.allowed,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,保留/验收
LOWER_SAIL,降帆,❌,✅,未注册,M.allowed,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,保留/验收
LOWER_SAIL_BOOST,降帆加速,✅,❌,leftclick,未注册,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,范围外或按需，逐目标检查副作用
MINE,挖矿,✅,✅,allclick,M.allowed,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,保留/验收
NABBAG,拾荒袋收集,✅,❌,rightclick（目标条件）,未注册,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,范围外或按需，逐目标检查副作用
NET,捕网,✅,✅,allclick,M.allowed,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,保留/验收
OCEAN_TRAWLER_LOWER,放下海网,✅,❌,rightclick,未注册,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,优先补原版非战斗日常动作
OCEAN_TRAWLER_RAISE,提起海网,✅,❌,rightclick,未注册,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,优先补原版非战斗日常动作
PICK,采摘,✅,✅,"leftclick（目标条件）,rightclick（目标条件）",M.allowed,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,保留/验收
PICKUP,拾取,✅,✅,"leftclick（目标条件）,rightclick（目标条件）",M.allowed,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,保留/验收
PICKUP_CHESTER,拿取切斯特,❌,✅,未注册,M.allowed,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,保留/验收
PLANT,种植,✅,✅,leftclick,M.allowed,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,保留/验收
PLANTREGISTRY_RESEARCH,植物图鉴研究,✅,❌,leftclick（目标条件）,未注册,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,优先补原版非战斗日常动作
PLANTSOIL,农田种植,✅,✅,leftclick,M.allowed,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,保留/验收
POUR_WATER,浇水,✅,✅,rightclick,M.allowed,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。 Wildwise 白名单不代表土地区域布点闭环。,保留/验收
POUR_WATER_GROUNDTILE,土块浇水,✅,✅,WaterAtPoint,M.allowed,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。 Wildwise 白名单不代表土地区域布点闭环。,保留/验收
RAISE_ANCHOR,起锚,❌,✅,未注册,M.allowed,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,保留/验收
RAISE_SAIL,升帆,✅,✅,leftclick,M.allowed,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,保留/验收
READ,阅读书籍,✅,❌,leftclick（目标条件）,未注册,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,范围外或按需，逐目标检查副作用
REEL,收竿,✅,❌,StartAutoFisher,未注册,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。 RB3 为普通鱼竿/池塘循环，带延迟补偿限制。,范围外或按需，逐目标检查副作用
REMOVELUNARBUILDUP,清理月亮堆积,✅,❌,leftclick,未注册,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,范围外或按需，逐目标检查副作用
REPAIR,修理,✅,✅,rightclick,M.allowed,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,保留/验收
REPAIR_LEAK,修补漏水,✅,❌,leftclick,未注册,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,优先补原版非战斗日常动作
RESETMINE,重置陷阱,✅,✅,rightclick,M.allowed,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,保留/验收
ROW_FAIL,划船失败动作,❌,✅,未注册,M.allowed,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。 Wildwise 虽列入白名单，但这是失败动作，不能算成功划船能力。,保留/验收
RUMMAGE,打开/取肉架内容,✅,❌,leftclick（目标条件）,未注册,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。 RB3 仅特定肉架，客户端路径有移槽 RPC；主机分支仍需分别验收。,优先补原版非战斗日常动作
SCYTHE,镰刀收割,✅,❌,rightclick,未注册,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,优先补原版非战斗日常动作
SEW,缝补,✅,❌,leftclick,未注册,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,优先补原版非战斗日常动作
SHAVE,剃毛,✅,❌,leftclick（目标条件）,未注册,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,范围外或按需，逐目标检查副作用
START_PUSHING,开始推动,✅,❌,rightclick,未注册,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,范围外或按需，逐目标检查副作用
STORE,存入容器,✅,✅,leftclick（目标条件）,M.allowed,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。 RB3 特定肉架；Wildwise 无对应收成品再挂肉专用流程。,保留/验收
TAKEITEM,取出物品,✅,✅,"leftclick,rightclick",M.allowed,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,保留/验收
TEACH,学习（RB3限定地图类）,✅,❌,leftclick（目标条件）,未注册,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,范围外或按需，逐目标检查副作用
TERRAFORM,铲除地皮,✅,✅,TerraformAtPoint,M.allowed,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。 Wildwise 白名单不代表土地区域布点闭环。,保留/验收
TILL,锄地,✅,✅,TillAtPoint,M.allowed,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,保留/验收
TURNOFF,关闭设施,✅,❌,rightclick,未注册,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,范围外或按需，逐目标检查副作用
TURNON,打开设施,✅,❌,rightclick,未注册,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,范围外或按需，逐目标检查副作用
UNWRAP,拆包,✅,❌,rightclick,未注册,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,范围外或按需，逐目标检查副作用
UPGRADE,升级,✅,❌,leftclick,未注册,须原生动作存在且 picker/角色/材料/目标状态允许；✅ 仅表示动作入口。,范围外或按需，逐目标检查副作用
