类型,入口,有描述或挂接入口,配置引用,命名输出,信息语义键,来源,边界
descriptors,book,✅,,"book_bees,book_birds,book_brimstone,book_horticulture,book_horticulture_upgraded,book_light,book_light_upgraded,book_meteor,book_rain,book_research_station,book_sanity_info,book_tentacles,book_web,insight_ranged","book.wickerbottom._research_station_charge,book.wickerbottom.bees,book.wickerbottom.birds,book.wickerbottom.brimstone,book.wickerbottom.horticulture,book.wickerbottom.horticulture_upgraded,book.wickerbottom.light,book.wickerbottom.meteor,book.wickerbottom.rain,book.wickerbottom.research_station,book.wickerbottom.tentacles,book.wickerbottom.web,sanity.interaction",/tmp/wildwise-research/insight/scripts/descriptors/book.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,breeder,✅,,,"breeder_fishstring,breeder_nextfishtime,breeder_possiblepredatortime",/tmp/wildwise-research/insight/scripts/descriptors/breeder.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,brushable,✅,,,brushable.last_brushed,/tmp/wildwise-research/insight/scripts/descriptors/brushable.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,burnable,✅,,burnable,"burnable.burn_time,burnable.smolder_time",/tmp/wildwise-research/insight/scripts/descriptors/burnable.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,carnivaldecor,✅,display_cawnival,,carnivaldecor.value,/tmp/wildwise-research/insight/scripts/descriptors/carnivaldecor.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,carnivaldecorranker,✅,display_cawnival,,"carnivaldecorranker.decor,carnivaldecorranker.rank",/tmp/wildwise-research/insight/scripts/descriptors/carnivaldecorranker.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,caveweather,✅,"display_weather,weather_detail",,"weather.progress_to_acid_rain,weather.progress_to_rain,weather.remaining_acid_rain,weather.remaining_rain",/tmp/wildwise-research/insight/scripts/descriptors/caveweather.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,chessnavy,✅,,,"chessnavy_ready,chessnavy_timer",/tmp/wildwise-research/insight/scripts/descriptors/chessnavy.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,childspawner,✅,display_spawner_information,,"childspawner.both_regen,childspawner.children,childspawner.emergency_children,childspawner.entity,childspawner.regenerating",/tmp/wildwise-research/insight/scripts/descriptors/childspawner.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,circuitnode,✅,,,,/tmp/wildwise-research/insight/scripts/descriptors/circuitnode.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,citypossession,✅,,,,/tmp/wildwise-research/insight/scripts/descriptors/citypossession.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,clock,✅,,,,/tmp/wildwise-research/insight/scripts/descriptors/clock.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,combat,✅,display_mob_attack_damage,,"combat.age_damage,combat.age_damageToYou,combat.damage,combat.damageToYou",/tmp/wildwise-research/insight/scripts/descriptors/combat.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,compostingbin,✅,display_compostvalue,,"compostingbin.contents_amount,compostingbin.detailed_contents_amount",/tmp/wildwise-research/insight/scripts/descriptors/compostingbin.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,constructionsite,✅,,,,/tmp/wildwise-research/insight/scripts/descriptors/constructionsite.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,container,✅,,"container,container_",,/tmp/wildwise-research/insight/scripts/descriptors/container.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,container_proxy,✅,,,,/tmp/wildwise-research/insight/scripts/descriptors/container_proxy.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,containerinstallableitem,✅,,"containerinstallableitem_slingshotband,containerinstallableitem_slingshotframe,containerinstallableitem_slingshothandle","containerinstallableitem.slingshot_band.range,containerinstallableitem.slingshot_band.slingshot_band_mimic,containerinstallableitem.slingshot_band.speed,containerinstallableitem.slingshot_handle,containerinstallableitem.slingshot_handle.fire_rate,containerinstallableitem.slingshot_handle.fire_rate_ramping",/tmp/wildwise-research/insight/scripts/descriptors/containerinstallableitem.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,cooldown,✅,,,cooldown,/tmp/wildwise-research/insight/scripts/descriptors/cooldown.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,crabkingspawner,❌,,,crabkingspawner.time_to_respawn,/tmp/wildwise-research/insight/scripts/descriptors/crabkingspawner.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,crittertraits,✅,,,dominant_trait,/tmp/wildwise-research/insight/scripts/descriptors/crittertraits.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,crop,✅,,,"crop_paused,growth,lang.growth",/tmp/wildwise-research/insight/scripts/descriptors/crop.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,cyclable,✅,,,"cyclable.note,cyclable.step",/tmp/wildwise-research/insight/scripts/descriptors/cyclable.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,damagetypebonus,✅,weapon_damage,damagetypebonus,"damage_types,damagetypebonus.modifier",/tmp/wildwise-research/insight/scripts/descriptors/damagetypebonus.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,damagetyperesist,✅,armor,damagetyperesist,"damage_types,damagetyperesist.modifier",/tmp/wildwise-research/insight/scripts/descriptors/damagetyperesist.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,dapperness,✅,,,dapperness,/tmp/wildwise-research/insight/scripts/descriptors/dapperness.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,daywalkerspawner,❌,,,daywalkerspawner.days_to_respawn,/tmp/wildwise-research/insight/scripts/descriptors/daywalkerspawner.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,debuffable,✅,,debuffable-,"buff_text,debuffs",/tmp/wildwise-research/insight/scripts/descriptors/debuffable.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,deerclopsspawner,❌,,,"deerclopsspawner.announce_deerclops_target,deerclopsspawner.deerclops_attack,deerclopsspawner.incoming_deerclops_targeted",/tmp/wildwise-research/insight/scripts/descriptors/deerclopsspawner.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,diseaseable,✅,,,"disease_delay,disease_in,disease_spread",/tmp/wildwise-research/insight/scripts/descriptors/diseaseable.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,domesticatable,✅,domestication_information,,"domesticatable.domestication,domesticatable.obedience,domesticatable.obedience_extended,domesticatable.tendencies,domesticatable.tendency",/tmp/wildwise-research/insight/scripts/descriptors/domesticatable.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,drivable,✅,,,,/tmp/wildwise-research/insight/scripts/descriptors/drivable.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,dryer,✅,,,"dry_time,dryer_paused,lang.dry_time,perishable.spoil,perishable.transition",/tmp/wildwise-research/insight/scripts/descriptors/dryer.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,eater,✅,,,"eater.eot_tofeed_restore,eater.eot_tofeed_restore_advanced,eater.tofeed_restore",/tmp/wildwise-research/insight/scripts/descriptors/eater.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,edible,✅,"display_food,food_effects,food_memory,food_order,food_style,food_units","edible,edible_advancedfoodeffects,edible_foodeffects,edible_foodmemory,edible_foodunit,edible_wereeater","edible_foodeffect,edible_foodtype,edible_interface,edible_wiki,food_unit,foodmemory,lang.food_unit,wereeater",/tmp/wildwise-research/insight/scripts/descriptors/edible.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,equippable,✅,,"equippable,equippable_yotr","combat.yotr_pillows.defense_amount,combat.yotr_pillows.prize_value,dapperness,hunger_drain,insulated,speed",/tmp/wildwise-research/insight/scripts/descriptors/equippable.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,explosive,✅,,"explosive,insight_ranged","explosive_damage,explosive_range",/tmp/wildwise-research/insight/scripts/descriptors/explosive.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,explosiveresist,✅,,,,/tmp/wildwise-research/insight/scripts/descriptors/explosiveresist.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,farming_manager,✅,,farming_manager_lordfruitfly,,/tmp/wildwise-research/insight/scripts/descriptors/farming_manager.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,farmplantable,✅,,,"farmplantable.good_seasons,farmplantable.nutrient_consumption,seasons.autumn,seasons.spring,seasons.summer,seasons.winter",/tmp/wildwise-research/insight/scripts/descriptors/farmplantable.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,farmplantstress,✅,display_plant_stressors,"farmplantstress_stressors,farmplantstress_stresspoints","farmplantstress.categories,farmplantstress.display,farmplantstress.stress_points,farmplantstress.stress_tier,farmplantstress.tiers",/tmp/wildwise-research/insight/scripts/descriptors/farmplantstress.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,farmsoildrinker,✅,"soil_moisture,soil_nutrients,soil_nutrients_needs_hat","farmsoildrinker_moisture,farmsoildrinker_nutrients","farmsoildrinker.soil_only,farmsoildrinker.soil_plant,farmsoildrinker.soil_plant_tile,farmsoildrinker.soil_plant_tile_net,farmsoildrinker_nutrients.soil_only,farmsoildrinker_nutrients.soil_plant,farmsoildrinker_nutrients.soil_plant_tile",/tmp/wildwise-research/insight/scripts/descriptors/farmsoildrinker.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,fertilizer,✅,display_fertilizer,,"fertilizer.growth_value,fertilizer.nutrient_value,fertilizer.wormwood.compost_heal,fertilizer.wormwood.formula_growth,healer.heal",/tmp/wildwise-research/insight/scripts/descriptors/fertilizer.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,fillable,✅,,,fillable.accepts_ocean_water,/tmp/wildwise-research/insight/scripts/descriptors/fillable.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,finiteuses,✅,display_finiteuses,,"action_uses,action_uses_verbose,actions,lang.action_uses,lang.action_uses_verbose,lang.actions,lang.actions.USES_PLAIN",/tmp/wildwise-research/insight/scripts/descriptors/finiteuses.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,fishable,✅,"display_simplefishing,time_style",,"fish_count,fish_recharge,fish_wait_time",/tmp/wildwise-research/insight/scripts/descriptors/fishable.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,fishingrod,✅,display_simplefishing,,"fishingrod_loserodtime,fishingrod_waittimes",/tmp/wildwise-research/insight/scripts/descriptors/fishingrod.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,flotsamgenerator,✅,,flotsamgenerator-messagebottle-,flotsamgenerator.messagebottle_cooldown,/tmp/wildwise-research/insight/scripts/descriptors/flotsamgenerator.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,follower,✅,follower_info,follower,"leader,loyalty_duration",/tmp/wildwise-research/insight/scripts/descriptors/follower.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,forcecompostable,✅,display_compostvalue,,forcecompostable,/tmp/wildwise-research/insight/scripts/descriptors/forcecompostable.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,friendlevels,✅,DEBUG_ENABLED,,friendlevel,/tmp/wildwise-research/insight/scripts/descriptors/friendlevels.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,fuel,✅,fuel_verbosity,,"fuel.fuel,fuel.fuel_verbose,fuel.types",/tmp/wildwise-research/insight/scripts/descriptors/fuel.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,fueled,✅,fuel_verbosity,"fueled,fueled_efficiency,fueled_helditemrefuelcapability","fuel.types,fueled.efficiency,fueled.held_refuel,fueled.time,fueled.time_verbose,fueled.units,rechargeable.charged_in",/tmp/wildwise-research/insight/scripts/descriptors/fueled.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,gelblobspawner,✅,,,,/tmp/wildwise-research/insight/scripts/descriptors/gelblobspawner.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,ghostlybond,✅,,"ghostlybond_abigail,ghostlybond_flower","ghostlybond.abigail,ghostlybond.flower,ghostlybond.levelup,lang.ghostlybond.abigail,lang.ghostlybond.flower,lang.ghostlybond.levelup",/tmp/wildwise-research/insight/scripts/descriptors/ghostlybond.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,ghostlyelixir,✅,,,"ghostlyelixir.ghostlyelixir_attack,ghostlyelixir.ghostlyelixir_retaliation,ghostlyelixir.ghostlyelixir_shield,ghostlyelixir.ghostlyelixir_slowregen,ghostlyelixir.ghostlyelixir_speed",/tmp/wildwise-research/insight/scripts/descriptors/ghostlyelixir.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,ghostlyelixirable,✅,,ghostlyelixirable,ghostlyelixirable.remaining_buff_time,/tmp/wildwise-research/insight/scripts/descriptors/ghostlyelixirable.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,growable,✅,"growth_verbosity,time_style",,"growable.next_stage,growable.paused,growable.stage",/tmp/wildwise-research/insight/scripts/descriptors/growable.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,grower,✅,,,harvests,/tmp/wildwise-research/insight/scripts/descriptors/grower.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,hackable,✅,time_style,,"lang.pickable.regrowth,pickable.regrowth,pickable.regrowth_paused",/tmp/wildwise-research/insight/scripts/descriptors/hackable.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,harvestable,✅,display_harvestable,,"harvestable.grow,harvestable.product,lang.harvestable.product",/tmp/wildwise-research/insight/scripts/descriptors/harvestable.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,hatchable,✅,,,"hatchable.discomfort,hatchable.progress",/tmp/wildwise-research/insight/scripts/descriptors/hatchable.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,healer,✅,,,"healer.heal,healer.spider_heal,healer.webber_heal",/tmp/wildwise-research/insight/scripts/descriptors/healer.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,health,✅,"display_health,naughtiness_verbosity",health,"absorption,health,health_regeneration",/tmp/wildwise-research/insight/scripts/descriptors/health.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,herdmember,✅,herd_information,"herd,mood","herd_size,mood.enter,mood.exit",/tmp/wildwise-research/insight/scripts/descriptors/herdmember.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,hideandseekgame,✅,,"hideandseekgame,insight_ranged","hideandseekgame.hiding_range,hideandseekgame.needed_hiding_spots",/tmp/wildwise-research/insight/scripts/descriptors/hideandseekgame.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,hitchable,✅,display_yotb_appraisal,,,/tmp/wildwise-research/insight/scripts/descriptors/hitchable.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,homeseeker,✅,,,,/tmp/wildwise-research/insight/scripts/descriptors/homeseeker.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,hounded,✅,,,"hounded.time_until_crocodog,hounded.time_until_hounds,hounded.time_until_worm_boss,hounded.time_until_worms,hounded.worm_boss_chance",/tmp/wildwise-research/insight/scripts/descriptors/hounded.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,hunger,✅,display_hunger,,"hunger,hunger_burn,hunger_paused",/tmp/wildwise-research/insight/scripts/descriptors/hunger.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,hunter,✅,hunt_indicator,,,/tmp/wildwise-research/insight/scripts/descriptors/hunter.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,inspectable,✅,"display_gyminfo,display_shelter_info","insight_false_combat,insight_ranged,insight_shelter,inspectable,oceantrawler_","gym_weight_value,insulation_summer,ruins_statue_gem,sheltered.range,sheltered.shelter,wagstaff_tool,waterproofness,wintertreegiftable.not_ready,wintertreegiftable.ready",/tmp/wildwise-research/insight/scripts/descriptors/inspectable.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,insulator,✅,,,"insulation_summer,insulation_winter",/tmp/wildwise-research/insight/scripts/descriptors/insulator.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,inventory,✅,,inventory.DescribeEquipSlot(,inventory,/tmp/wildwise-research/insight/scripts/descriptors/inventory.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,itemmimic,✅,display_itemmimic_information,,itemmimic.time_to_reveal,/tmp/wildwise-research/insight/scripts/descriptors/itemmimic.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,kitcoonden,✅,,,kitcoonden.number_of_kitcoons,/tmp/wildwise-research/insight/scripts/descriptors/kitcoonden.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,klaussacklock,✅,klaus_sack_info,,klaussackloot,/tmp/wildwise-research/insight/scripts/descriptors/klaussacklock.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,klaussackloot,❌,,,,/tmp/wildwise-research/insight/scripts/descriptors/klaussackloot.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,klaussackspawner,❌,,,"klaussackspawner.announce_despawn,klaussackspawner.announce_spawn,klaussackspawner.klaussack_despawn,klaussackspawner.klaussack_spawnsin",/tmp/wildwise-research/insight/scripts/descriptors/klaussackspawner.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,krakener,✅,,,,/tmp/wildwise-research/insight/scripts/descriptors/krakener.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,kramped,✅,,"kramped_creaturenaughtiness,kramped_playernaughtiness","kramped.localplayer_naughtiness,kramped.naughtiness",/tmp/wildwise-research/insight/scripts/descriptors/kramped.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,leader,✅,follower_info,,followers,/tmp/wildwise-research/insight/scripts/descriptors/leader.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,lightningblocker,✅,,"insight_ranged,lightningblocker",lightningblocker.range,/tmp/wildwise-research/insight/scripts/descriptors/lightningblocker.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,linkeditem,✅,,,linkeditem.owner,/tmp/wildwise-research/insight/scripts/descriptors/linkeditem.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,locomotor,✅,,"locomotor_add_,locomotor_mult_",,/tmp/wildwise-research/insight/scripts/descriptors/locomotor.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,lunarhailmanager,✅,,,,/tmp/wildwise-research/insight/scripts/descriptors/lunarhailmanager.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,lunarriftmutationsmanager,✅,,,,/tmp/wildwise-research/insight/scripts/descriptors/lunarriftmutationsmanager.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,lunarthrall_plantspawner,✅,,,"lunarthrall_plantspawner.infested_count,lunarthrall_plantspawner.next_wave,lunarthrall_plantspawner.remain_waves,lunarthrall_plantspawner.spawn",/tmp/wildwise-research/insight/scripts/descriptors/lunarthrall_plantspawner.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,madsciencelab,✅,,,madsciencelab_finish,/tmp/wildwise-research/insight/scripts/descriptors/madsciencelab.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,malbatrossspawner,❌,,,"malbatrossspawner.malbatross_spawnsin,malbatrossspawner.time_to_respawn",/tmp/wildwise-research/insight/scripts/descriptors/malbatrossspawner.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,mast,✅,,,"mast_max_velocity,mast_sail_force",/tmp/wildwise-research/insight/scripts/descriptors/mast.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,mermcandidate,✅,,,mermcandidate,/tmp/wildwise-research/insight/scripts/descriptors/mermcandidate.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,mermkingmanager,✅,,,,/tmp/wildwise-research/insight/scripts/descriptors/mermkingmanager.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
